,Address,deals2,Tenant,Landlord,Borough,Size,deals7,deals8,Neighborhood,Event Date,Tenant Rep. Agent,Landlord Rep. Agent,Event,Publication Date,Tenant Rep. Firm,Landlord Rep. Firm
31,1359 Fulton Street,,A.S. Digital Photo Call Corp & Shipping store,Bawabeh Brothers #2,Brooklyn,"1,000",,,Bedford-Stuyvesant,11/29/2019,Josh Augenbaum,Josh Augenbaum,Retail Leasing,11/29/2019,Augenbaum Realty,Augenbaum Realty
32,228 East 58th Street,,Ferrell Mittman,228E58STR,Manhattan,"3,700",,,Midtown East,11/26/2019,Dean Valentino,"Jedd Horn, Nicole Mendelson, Michael Thomas",Retail Leasing,11/29/2019,ABS Partners Real Estate,Colliers International
33,203 East Fordham Road,,Snipes,Fordham Chera Acquisitions,Bronx,"6,866",,,Fordham,11/25/2019,"Joe Mastromonaco, Fritz Kemerling, Evan Clements","David Alani, Michael Friedman",Retail Leasing,11/29/2019,Dartmouth Company,Inline Realty
34,845 Dean Street,,Brooklyn Strength,845-855 Dean Realty,Brooklyn,"3,500",,,Crown Heights,11/25/2019,Etienne Douyan,,Retail Leasing,11/29/2019,Norman Bobrow & Company,
35,80 Maiden Lane,,Five Guys,Maiden Lane Asset,Manhattan,"3,200",,,Financial District,11/25/2019,"Stephen Sjurset, Robert Bonicoro","Lee Block, Manu Wendum",Retail Leasing,12/13/2019,CBRE,Winick Realty Group
36,125 Kent Avenue,,Brooklinen,L3 Capital,Brooklyn,"2,500",,,Williamsburg,11/25/2019,Tess Jacoby,"Joe Mastromonaco, Fritz Kemerling, Evan Clements",Retail Leasing,11/29/2019,JLL,Dartmouth Company
37,162 Flatbush Avenue,,Snipes,162-170 Flatbush Associates,Brooklyn,"2,500",,,Park Slope,11/25/2019,"Joe Mastromonaco, Fritz Kemerling, Evan Clements","David Alani, Michael Friedman",Retail Leasing,11/29/2019,Dartmouth Company,Inline Realty
38,1602 Second Avenue,,Dunkin,Equity Residential,Manhattan,"1,553",,,Yorkville,11/25/2019,Louis Franco,Hal Shapiro,Retail Leasing,12/13/2019,Isa Realty,Winick Realty Group
39,314 West 23rd Street,,USA Vein Clinics,Chelsea London Company,Manhattan,"2,467",,,Chelsea,11/19/2019,Denis Abayev,"William Abramson, Matthew Olden",Retail Leasing,12/06/2019,Commercial Acquisitions Realty,Buchbinder & Warren Realty
40,22-28 31st Street,,Starbucks,22-28 31st Realty,Queens,"2,830",,,Astoria,11/15/2019,"Richard Senior, Chris Walther, Scott Rothstein, Doug Weinstein",Richard Senior,Retail Leasing,11/15/2019,RIPCO Real Estate,RIPCO Real Estate
41,6715 18th Avenue,,Shoe Show,Harman Realty Brooklyn,Brooklyn,"2,300",,,Bensonhurst,11/15/2019,,"Richard Senior, Jesse Wang",Retail Leasing,11/15/2019,Gluck & Associates,RIPCO Real Estate
42,22-22 Jackson Avenue,,Bootoo Onezo,2222 Jackson Owner,Queens,"1,134",,,Long Island City,11/15/2019,"Thomas Galo, Steven Baker","Thomas Galo, Steven Baker",Retail Leasing,12/13/2019,Winick Realty Group,Winick Realty Group
43,280 Park Avenue,,Fasano Hotel and Restaurant Group,"Vornado Realty Trust, SL Green Realty",Manhattan,"20,000",,,Plaza District,11/14/2019,,,Retail Leasing,11/15/2019,,
44,1519 Decatur Street,,Pirate Studios,"Hornig Capital Partners, Brickman",Queens,"13,832",,,Ridgewood,11/14/2019,Ben Waller,Ben Waller,Retail Leasing,11/15/2019,ABS Partners Real Estate,ABS Partners Real Estate
45,140 Church Street,,CVS,Warren Street Associates,Manhattan,"12,000",,,Tribeca,11/12/2019,"Andrew Mandell, Ben Sabin","Andrew Mandell, Ben Sabin",Retail Leasing,11/15/2019,Ripco Real Estate,Ripco Real Estate
46,228 East 58th Street,,Ferrell Mittman,228E58STR LLC,Manhattan,"3,700",,,Midtown East,11/12/2019,Dean Valentino,"Jedd Horn, Nicole Mendelson, Michael Thomas",Retail Leasing,11/15/2019,ABS Partners Real Estate,Colliers International
47,1345 Sixth Avenue,,Blue Bottle Coffee,Fisher Brothers,Manhattan,935,,,Midtown West,11/12/2019,"Mark Frankel, Jeffery Roseman, Drew Weiss","Marc Packman, Clark Briffel, Eric Gelber, Jordan Kaplan",Retail Leasing,11/15/2019,Newmark Knight Frank,"Fisher Brothers, CBRE"
48,519 Fulton Street,,American Standard Hospitality Group,Thor Equities,Brooklyn,"4,200",,,Brooklyn Heights,11/11/2019,"Michael Balanevsky, Stan Gutgarts",Sam Sabin,Retail Leasing,11/15/2019,Accent Holdings,Thor Equities
49,546 Sixth Avenue,,Landsea Development,15th Street Owners,Manhattan,"2,275",,,Flatiron,11/11/2019,Rachel Rainaldi,"Daniel Rodriguez Sains, William Abramson",Retail Leasing,11/15/2019,Compass,Buchbinder & Warren Realty Group
50,344 West 38th Street,,Culture Objects,Karma Properties,Manhattan,"1,500",,,Hudson Yards,11/11/2019,Lisa Rosenthal,Michael Segerman,Retail Leasing,11/15/2019,Compass,Dynamik Real Estate Group
